,gender,int_or_dom,grad_year,fin_aid,c1_field,testing,legacy,ever_checked_out,calls_vga,last_had_sex,us_mil_action,asian,amind_alask,black,nathaw_pacisl,nw_hisp,white,pna_race,grad_year_lumped,wants_masks_in_class,wants_masks_in_student_space,wants_mand_testing,wants_none_of_above,unsure_covid_restrictions,pna_covid_restrictions,used_alcohol,used_cocaine,used_inhalants,used_lsd,used_marijuana,used_mdma,used_nicotine,used_shrooms,used_none_of_above,used_unsure,pna_drugs
486,Female,Domestic,2025.0,None,LS,No,No,No,New Dorm,Less than one month ago,Unsure,1,0,0,0,0,0,0,2025.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
487,Female,Domestic,2025.0,Grants covering some costs,LS,No,No,No,Other,Less than one week ago,Unsure,0,0,0,0,0,1,0,2025.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
488,Male,International,2022.0,None,LS,Yes,No,Yes,New Dorm,I’ve never had sex,Oppose,1,0,0,0,0,0,0,2022.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
489,Female,Domestic,2024.0,None,LS,No,No,No,Greg,I’ve never had sex,Favor,0,0,0,0,0,1,0,2024.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
490,Male,Domestic,2024.0,None,LS,Unsure,No,No,Greg,Prefer not to answer,Unsure,0,0,0,0,0,1,0,2024.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
491,Male,Domestic,2024.0,None,LS,No,No,No,Greg,I’ve never had sex,Unsure,1,0,0,0,0,1,0,2024.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
492,Female,Domestic,2025.0,None,U,No,No,No,Greg,Less than one week ago,Unsure,0,0,0,0,0,1,0,2025.0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
493,Male,Domestic,2025.0,None,SS,No,No,Yes,Greg,Less than six months ago,Oppose,0,0,0,0,0,1,0,2025.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
494,Female,International,2024.0,Grants covering all costs,PS,Yes,Unsure,No,Greg,Prefer not to answer,Unsure,0,0,0,0,1,0,0,2024.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
495,Female,Domestic,2025.0,None,PS,Unsure,No,No,Greg,More than six months ago,Oppose,0,0,0,0,0,1,0,2025.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
